,레벨,상위통계항목코드,통계항목코드,통계항목명,메타데이터
133,3,N030,N039,기준시점,2003.1월~전년도 12월
134,4,N031,0000000004,통계종류,일반통계-가공통계
135,2,0000000001,0000000064,집계표 데이터 처리,
136,3,N030,N032,분류체계,
137,2,0000000001,N01,연락처,
138,2,0000000108,N14,설명,"ESI는 장기평균 100을 중심으로 대칭적으로 분포하고 표준편차가 10이 되도록 작성하므로 ESI가 100을 상회(하회)하면 기업과 소비자 모두를 포함한 민간의 경제심리가 과거 평균보다 나은(못한) 수준인 것으로 해석

* BSI 및 CSI 지수 값 100은 지수 산식의 정의에 의하여 긍정과 부정의 응답 비중이 동일함을  의미"
139,2,0000000001,N06,기밀성,
140,3,N06,N062,기밀성-자료처리,
141,3,N06,N061,기밀성-정책,
142,2,0000000001,N07,공표정책,
143,3,N08,N082,정기발간물공표형식,경제심리지수
144,3,N030,N038,시간포괄성,2012.6월 최초 작성(과거 시계열은 2003.1월부터 제공)
145,3,N12,N122,자료수집주기,매월
146,3,N07,N072,대외공표관리,"경제심리지수 원계열, 순환변동치"
147,3,N01,N013,담당자주소,bokbsi@bok.or.kr
148,2,0000000001,N02,메타데이터수정일자,
149,3,N02,N021,메타데이터수정일자-최종수정,2022-04-29
150,3,N07,N071,공표일정,매월
151,3,N12,N124,데이터타당성,
152,2,0000000001,N08,공표형식,
153,3,N08,N083,마이크로데이터공표형식,
154,3,N08,N081,비정기보도자료공표형식,매월 공표시 한국은행 홈페이지 게시
155,3,N08,N084,기타중요데이터공표형식,
156,2,0000000108,N12,통계처리,
